arm,metric,vs,n,delta,CI_lo_95,CI_hi_95,p_two_sided,significant
hybrid,faithful_F1,rag_only,61,0.0536,-0.0158,0.1283,0.1384,NO
hybrid,deontic_align,rag_only,61,0.2678,0.1721,0.362,0.0,YES
kg_only,faithful_F1,rag_only,61,-0.1907,-0.3254,-0.0523,0.0056,YES
kg_only,deontic_align,rag_only,59,0.2302,0.1299,0.3302,0.0,YES
