concurrency,requests,errors,error_rate,p50_ms,p95_ms,max_ms
1,2,0,0.0,31330.6,54282.0,56832.2
2,4,0,0.0,56823.1,56899.8,56909.1
4,8,0,0.0,57030.1,57448.4,57610.0
8,16,0,0.0,56917.4,57267.9,57509.3
